checking_balance,months_loan_duration,credit_history,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,existing_loans_count,dependents,phone,default,purpose_business,purpose_car,purpose_car0,purpose_education,purpose_furniture/appliances,purpose_renovations,housing_other,housing_own,housing_rent,other_credit_bank,other_credit_none,other_credit_store,job_management,job_skilled,job_unemployed,job_unskilled
-1,6,4,783,-1,3,1,2,26,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2,12,3,6468,-1,1,2,1,52,1,1,2,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
-1,36,1,9566,1,3,2,2,31,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
3,18,3,1961,1,5,3,2,23,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
1,36,1,6229,1,2,4,4,23,2,1,2,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
2,9,3,1391,1,3,2,1,27,1,1,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
2,15,1,1537,-1,5,4,4,50,2,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2,36,5,1953,1,5,4,4,61,1,1,2,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
2,48,5,14421,1,3,2,2,25,1,1,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
-1,24,3,3181,1,2,4,4,26,1,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
-1,27,3,5190,-1,5,4,4,48,4,2,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
-1,12,3,2171,1,2,2,2,29,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
2,12,3,1007,4,3,4,1,22,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
-1,36,3,1819,1,3,4,4,37,1,1,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
-1,36,3,2394,-1,3,4,4,25,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
-1,36,3,8133,1,3,1,2,30,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
-1,7,1,730,-1,5,4,2,46,2,1,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
1,8,1,1164,1,5,3,4,51,2,2,2,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
2,42,1,5954,1,4,2,1,41,2,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
1,36,3,1977,-1,5,4,4,40,1,1,2,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
1,12,1,1526,1,5,4,4,66,2,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
1,42,3,3965,1,2,4,3,34,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2,11,2,4771,1,4,2,4,51,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
-1,54,5,9436,-1,3,2,2,39,1,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
2,30,3,3832,1,2,2,1,22,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
-1,24,3,5943,-1,2,1,1,44,2,1,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
-1,15,3,1213,3,5,4,3,47,1,1,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
-1,18,3,1568,2,3,3,4,24,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1,24,3,1755,1,5,4,4,58,1,1,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
1,10,3,2315,1,5,3,4,52,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
-1,12,1,1412,1,3,4,2,29,2,1,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
2,18,1,1295,1,2,4,1,27,2,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2,36,3,12612,2,3,1,4,47,1,2,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
1,18,3,2249,2,4,4,3,30,1,2,2,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
1,12,5,1108,1,4,4,3,28,2,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
-1,12,1,618,1,5,4,4,56,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1,12,1,1409,1,5,4,3,54,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
-1,12,1,797,-1,5,4,3,33,1,2,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
3,24,1,3617,-1,5,4,4,20,2,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
2,12,3,1318,4,5,4,4,54,1,1,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2,54,5,15945,1,2,3,4,58,1,1,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
-1,12,1,2012,-1,4,4,2,61,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
2,18,3,2622,2,3,4,4,34,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2,36,1,2337,1,5,4,4,36,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2,20,2,7057,-1,4,3,4,36,2,2,2,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
-1,24,3,1469,2,5,4,4,41,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
2,36,3,2323,1,4,4,4,24,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
-1,6,2,932,1,3,3,2,24,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2,9,1,1919,1,4,4,3,35,1,1,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
-1,12,3,2445,-1,2,2,4,26,1,1,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
2,24,1,11938,1,3,2,3,39,2,2,2,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
-1,18,4,6458,1,5,2,4,39,2,2,2,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
2,12,3,6078,1,4,2,2,32,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,24,3,7721,-1,2,1,2,30,1,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2,14,3,1410,3,5,1,2,35,1,1,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2,6,2,1449,2,5,1,2,31,2,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
3,15,3,392,1,2,4,4,23,1,1,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
2,18,3,6260,1,4,3,3,28,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
-1,36,1,7855,1,3,4,2,25,2,1,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1,12,3,1680,3,5,3,1,35,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
-1,48,1,3578,-1,5,4,1,47,1,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1,42,3,7174,-1,4,4,3,30,1,1,2,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,10,1,2132,-1,2,2,3,27,2,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
1,33,1,4281,3,3,1,4,23,2,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2,12,1,2366,3,4,3,3,36,1,1,2,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
1,21,3,1835,1,3,3,2,25,2,1,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
-1,24,1,3868,1,5,4,2,41,2,1,2,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
-1,12,3,1768,1,3,3,2,24,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
3,10,1,781,1,5,4,4,63,2,1,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
2,18,3,1924,-1,2,4,3,27,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
1,12,1,2121,1,3,4,2,30,2,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,12,3,701,1,3,4,2,40,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
2,12,3,639,1,3,4,2,30,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
2,12,1,1860,1,1,4,2,34,2,1,2,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
1,12,1,3499,1,3,3,2,29,2,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2,48,3,8487,-1,4,1,2,24,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,36,2,6887,1,3,4,3,29,1,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
-1,15,3,2708,1,2,2,3,27,2,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
-1,18,3,1984,1,3,4,4,47,2,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
-1,60,3,10144,2,4,2,4,21,1,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
-1,12,1,1240,-1,5,4,2,38,2,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
-1,27,2,8613,4,3,2,2,27,2,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2,12,3,766,3,3,4,3,66,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
2,15,1,2728,-1,4,4,2,35,3,1,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
3,12,3,1881,1,3,2,2,44,1,1,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
3,6,3,709,4,2,2,2,27,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2,36,3,4795,1,2,4,1,30,1,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,27,3,3416,1,3,3,2,27,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,18,3,2462,1,3,2,2,22,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
-1,21,1,2288,1,2,4,4,23,1,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2,48,4,3566,2,4,4,2,30,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,6,1,860,1,5,1,4,39,2,1,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
-1,12,1,682,2,4,4,3,51,2,1,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,36,1,5371,1,3,3,2,28,2,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
-1,18,1,1582,4,5,4,4,46,2,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
-1,6,3,1346,2,5,2,4,42,1,2,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
-1,10,3,1924,1,3,1,4,38,1,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
3,36,3,5848,1,3,4,1,24,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2,24,1,7758,4,5,2,4,29,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
2,24,2,6967,2,4,4,4,36,1,1,2,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1,12,3,1282,1,3,2,4,20,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
1,9,1,1288,2,5,3,4,48,2,2,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
1,12,4,339,1,5,4,1,45,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
2,24,3,3512,2,4,2,3,38,2,1,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
-1,6,1,1898,-1,3,1,2,34,2,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
-1,24,1,2872,2,5,3,4,36,1,2,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
-1,18,1,1055,1,2,4,1,30,2,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
-1,15,3,1262,3,4,4,3,36,2,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2,10,3,7308,1,1,2,4,70,1,1,2,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
-1,36,3,909,3,5,4,4,36,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
-1,6,3,2978,3,3,1,2,32,1,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1,18,3,1131,1,1,4,2,33,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2,11,3,1577,4,2,4,1,20,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
-1,24,3,3972,1,4,2,4,25,1,1,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
2,24,1,1935,1,5,4,4,31,2,1,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,15,5,950,1,5,4,3,33,2,2,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
-1,12,3,763,1,3,4,1,26,1,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2,24,2,2064,1,1,3,2,34,1,1,2,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
2,8,3,1414,1,3,4,2,33,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1,21,2,3414,1,2,2,1,26,2,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
-1,30,4,7485,-1,1,4,1,53,1,1,2,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
1,12,3,2577,1,3,2,1,42,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1,6,1,338,3,5,4,4,52,2,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
-1,12,3,1963,1,4,4,2,31,2,2,2,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
1,21,1,571,1,5,4,4,65,2,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
-1,36,2,9572,1,2,1,1,28,2,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2,36,2,4455,1,3,2,2,30,2,1,2,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
1,21,4,1647,-1,3,4,2,40,2,2,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
-1,24,1,3777,4,3,4,4,50,1,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2,18,1,884,1,5,4,4,36,1,2,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
-1,15,1,1360,1,3,4,2,31,2,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2,9,4,5129,1,5,2,4,74,1,2,2,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
2,16,1,1175,1,1,2,3,68,3,1,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1,12,3,674,2,4,4,1,20,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2,18,5,3244,1,3,1,4,33,2,1,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
-1,24,3,4591,4,3,2,3,54,3,1,2,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
2,48,5,3844,2,4,4,4,34,1,2,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
2,27,3,3915,1,3,4,2,36,1,2,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
-1,6,3,2108,1,4,2,2,29,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
2,45,3,3031,2,3,4,4,21,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
2,9,1,1501,1,5,2,3,34,2,1,2,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
-1,6,1,1382,1,3,1,1,28,2,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2,12,3,951,2,2,4,4,27,4,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
2,24,3,2760,-1,5,4,4,36,1,1,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
2,18,2,4297,1,5,4,3,40,1,1,2,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
-1,9,1,936,3,5,4,2,52,2,1,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
1,12,3,1168,1,3,4,3,27,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
-1,27,2,5117,1,4,3,4,26,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,12,3,902,1,4,4,4,21,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
-1,12,1,1495,1,5,4,1,38,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
1,30,1,10623,1,5,3,4,38,3,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
-1,12,1,1935,1,5,4,4,43,3,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2,12,1,1424,1,4,4,3,26,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1,24,3,6568,1,3,2,2,21,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
-1,12,3,1413,4,4,3,2,55,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
-1,9,1,3074,-1,3,1,2,33,2,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
-1,36,3,3835,-1,5,2,4,45,1,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
1,27,5,5293,1,1,2,4,50,2,1,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
3,30,2,1908,1,5,4,4,66,1,1,2,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
-1,36,1,3342,-1,5,4,2,51,1,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2,6,1,932,-1,4,1,3,39,2,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1,18,5,3104,1,4,3,1,31,1,1,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
3,36,3,3913,1,3,2,2,23,1,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1,24,3,3021,1,3,2,2,24,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
-1,10,3,1364,1,3,2,4,64,1,1,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2,12,3,625,1,2,4,1,26,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
1,12,3,1200,-1,3,4,4,23,1,1,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
-1,12,3,707,1,3,4,2,30,2,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
-1,24,2,2978,-1,3,4,4,32,2,2,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
-1,15,3,4657,1,3,3,2,30,1,1,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
-1,36,5,2613,1,3,4,2,27,2,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
2,48,3,10961,4,4,1,2,27,2,1,2,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
1,12,3,7865,1,5,4,4,53,1,1,2,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
-1,9,3,1478,1,4,4,2,22,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
